cluster,state,region,source,uor,lat,lng,military,incorporated,timezone,ranking,zips,id,wealth,density,literacy,employment,mortality,agriculture
4003,Arizona,Cochise,polygon,U,31.6858,-109.6896,FALSE,FALSE,America/Phoenix,3,85610,1840023086,c:rich,moderately dense,less educated,high employment,high mortality,low agriculture
4009,Arizona,Graham,polygon,U,32.8138,-109.6291,FALSE,FALSE,America/Phoenix,3,85546 85551,1840022961,c:rich,highly dense,less educated,medium employment,high mortality,low agriculture
4013,Arizona,Maricopa,polygon,U,33.3858,-112.3236,FALSE,TRUE,America/Phoenix,2,85323 85392 85329,1840019310,b:middle,highly dense,moderately educated,medium employment,low mortality,good agriculture
4015,Arizona,Mohave,polygon,U,35.4227,-113.6486,FALSE,FALSE,America/Phoenix,3,86437 86434,1840023176,c:rich,moderately dense,less educated,high employment,high mortality,low agriculture
4019,Arizona,Pima,polygon,U,32.0596,-111.2865,FALSE,FALSE,America/Phoenix,3,85735 85736,1840019486,c:rich,moderately dense,moderately educated,high employment,high mortality,low agriculture
4021,Arizona,Pinal,polygon,U,33.1427,-111.7853,FALSE,TRUE,America/Phoenix,3,85147,1840042769,c:rich,moderately dense,less educated,high employment,high mortality,best
4027,Arizona,Yuma,polygon,U,32.6452,-114.7067,FALSE,TRUE,America/Phoenix,3,85365,1840075320,c:rich,highly dense,less educated,high employment,high mortality,good agriculture
5001,Arkansas,Arkansas,polygon,U,34.1192,-91.3789,FALSE,TRUE,America/Chicago,3,72055,1840013606,b:middle,dense,less educated,medium employment,medium mortality,best
5003,Arkansas,Ashley,polygon,U,33.1212,-91.5464,FALSE,TRUE,America/Chicago,3,71661,1840014840,c:rich,moderately dense,less educated,high employment,high mortality,good agriculture
5007,Arkansas,Benton,polygon,U,36.4291,-94.3713,FALSE,TRUE,America/Chicago,3,72739 72736,1840013318,c:rich,moderately dense,moderately educated,high employment,medium mortality,best
5009,Arkansas,Boone,polygon,U,36.4128,-92.9068,FALSE,TRUE,America/Chicago,3,72644 72643,1840016081,c:rich,dense,moderately educated,high employment,high mortality,good agriculture
5011,Arkansas,Bradley,polygon,U,33.4472,-92.1714,FALSE,TRUE,America/Chicago,3,71647,1840015697,b:middle,dense,less educated,low employment,medium mortality,low agriculture
5013,Arkansas,Calhoun,polygon,U,33.7756,-92.4889,FALSE,TRUE,America/Chicago,3,71766,1840015682,b:middle,moderately dense,less educated,medium employment,medium mortality,low agriculture
5015,Arkansas,Carroll,polygon,U,36.4966,-93.3977,FALSE,TRUE,America/Chicago,3,72660,1840015294,c:rich,dense,less educated,high employment,high mortality,best
5017,Arkansas,Chicot,polygon,U,33.3299,-91.2847,FALSE,TRUE,America/Chicago,3,71653,1840014821,a:poor,dense,less educated,low employment,low mortality,best
5019,Arkansas,Clark,polygon,U,34.0005,-93.3376,FALSE,TRUE,America/Chicago,3,71962,1840016694,c:rich,moderately dense,less educated,high employment,high mortality,best
5021,Arkansas,Clay,polygon,U,36.4365,-90.3907,FALSE,TRUE,America/Chicago,3,72456 72441 72422,1840016086,b:middle,dense,less educated,high employment,high mortality,best
5025,Arkansas,Cleveland,polygon,U,33.7565,-92.2401,FALSE,FALSE,America/Chicago,3,71660,1840022909,a:poor,moderately dense,less educated,low employment,medium mortality,good agriculture
5027,Arkansas,Columbia,polygon,U,33.3528,-93.295,FALSE,TRUE,America/Chicago,3,71770,1840015729,b:middle,dense,less educated,medium employment,medium mortality,low agriculture
5029,Arkansas,Conway,polygon,U,35.1003,-92.7733,FALSE,TRUE,America/Chicago,3,72110,1840014565,b:middle,moderately dense,less educated,medium employment,medium mortality,low agriculture
5031,Arkansas,Craighead,polygon,U,35.9116,-90.8011,FALSE,TRUE,America/Chicago,3,72416,1840013396,c:rich,dense,moderately educated,medium employment,medium mortality,best
5033,Arkansas,Crawford,polygon,U,35.6361,-94.1679,FALSE,TRUE,America/Chicago,3,72946,1840014537,c:rich,moderately dense,less educated,high employment,high mortality,best
5035,Arkansas,Crittenden,polygon,U,35.2267,-90.3241,FALSE,TRUE,America/Chicago,3,72327,1840016383,c:rich,dense,less educated,high employment,high mortality,good agriculture
5037,Arkansas,Cross,polygon,U,35.402,-90.7545,FALSE,TRUE,America/Chicago,3,72324,1840014578,b:middle,dense,less educated,medium employment,medium mortality,best
5039,Arkansas,Dallas,polygon,U,33.9171,-92.85,FALSE,TRUE,America/Chicago,3,71763,1840015619,b:middle,moderately dense,less educated,medium employment,medium mortality,good agriculture
5041,Arkansas,Desha,polygon,U,33.6279,-91.3952,FALSE,TRUE,America/Chicago,3,71654,1840015630,a:poor,dense,less educated,low employment,low mortality,best
5043,Arkansas,Drew,polygon,U,33.6264,-91.9294,FALSE,TRUE,America/Chicago,3,71675,1840015684,b:middle,moderately dense,less educated,medium employment,medium mortality,good agriculture
5045,Arkansas,Faulkner,polygon,U,35.2289,-92.3836,FALSE,TRUE,America/Chicago,3,72058,1840013477,b:middle,dense,moderately educated,medium employment,medium mortality,low agriculture
5047,Arkansas,Franklin,polygon,U,35.2954,-94.0463,FALSE,TRUE,America/Chicago,3,72933,1840014530,a:poor,dense,less educated,low employment,low mortality,low agriculture
5049,Arkansas,Fulton,polygon,U,36.3713,-91.8246,FALSE,TRUE,America/Chicago,3,72576,1840015292,a:poor,dense,less educated,low employment,low mortality,best
5053,Arkansas,Grant,polygon,U,34.2996,-92.4225,FALSE,TRUE,America/Chicago,3,72150,1840015565,a:poor,dense,moderately educated,low employment,low mortality,best
5055,Arkansas,Greene,polygon,U,36.2092,-90.5043,FALSE,TRUE,America/Chicago,3,72436 72443,1840016120,c:rich,moderately dense,less educated,high employment,high mortality,best
5061,Arkansas,Howard,polygon,U,33.8183,-93.8969,FALSE,TRUE,America/Chicago,3,71851,1840016690,c:rich,moderately dense,less educated,high employment,high mortality,good agriculture
5067,Arkansas,Jackson,polygon,U,35.4481,-91.2315,FALSE,TRUE,America/Chicago,3,72112,1840016257,c:rich,moderately dense,less educated,high employment,high mortality,good agriculture
5069,Arkansas,Jefferson,polygon,U,34.4429,-92.1843,FALSE,TRUE,America/Chicago,3,72132,1840014700,b:middle,dense,less educated,medium employment,medium mortality,best
5071,Arkansas,Johnson,polygon,U,35.4569,-93.4803,FALSE,TRUE,America/Chicago,3,72830,1840014533,a:poor,dense,less educated,low employment,low mortality,low agriculture
5073,Arkansas,Lafayette,polygon,U,33.3572,-93.4358,FALSE,TRUE,America/Chicago,3,71827,1840013766,a:poor,moderately dense,less educated,medium employment,medium mortality,low agriculture
5075,Arkansas,Lawrence,polygon,U,36.0852,-90.9462,FALSE,TRUE,America/Chicago,3,72476,1840015327,a:poor,moderately dense,less educated,low employment,low mortality,good agriculture
5077,Arkansas,Lee,polygon,U,34.7737,-90.7674,FALSE,TRUE,America/Chicago,3,72360,1840015534,a:poor,highly dense,less educated,low employment,low mortality,best
5079,Arkansas,Lincoln,polygon,U,34.0789,-91.698,FALSE,TRUE,America/Chicago,3,71644,1840013665,b:middle,moderately dense,less educated,medium employment,medium mortality,best
5083,Arkansas,Logan,polygon,U,35.2899,-93.7236,FALSE,TRUE,America/Chicago,3,72855,1840014586,a:poor,dense,less educated,low employment,low mortality,low agriculture
5085,Arkansas,Lonoke,polygon,U,35.0129,-91.9571,FALSE,TRUE,America/Chicago,3,72007 72176,1840015504,a:poor,highly dense,moderately educated,low employment,low mortality,good agriculture
5087,Arkansas,Madison,polygon,U,36.1458,-93.8627,FALSE,TRUE,America/Chicago,3,72738,1840016107,c:rich,moderately dense,less educated,high employment,high mortality,good agriculture
5089,Arkansas,Marion,polygon,U,36.2289,-92.686,FALSE,TRUE,America/Chicago,3,72687,1840015300,a:poor,dense,moderately educated,low employment,medium mortality,low agriculture
5091,Arkansas,Miller,polygon,U,33.4361,-93.996,FALSE,TRUE,America/Chicago,3,71854,1840015708,a:poor,dense,less educated,low employment,low mortality,good agriculture
5093,Arkansas,Mississippi,polygon,U,35.8592,-90.026,FALSE,TRUE,America/Chicago,3,72426 72315,1840016226,c:rich,moderately dense,less educated,high employment,high mortality,best
5095,Arkansas,Monroe,polygon,U,34.8899,-91.1902,FALSE,TRUE,America/Chicago,3,72021,1840013541,a:poor,dense,less educated,low employment,low mortality,good agriculture
5097,Arkansas,Montgomery,polygon,U,34.4584,-93.6791,FALSE,TRUE,America/Chicago,3,71960,1840016601,a:poor,moderately dense,less educated,medium employment,medium mortality,low agriculture
5101,Arkansas,Newton,polygon,U,36.0102,-93.1862,FALSE,TRUE,America/Chicago,3,72641,1840014492,a:poor,dense,less educated,low employment,medium mortality,best
5103,Arkansas,Ouachita,polygon,U,33.4221,-93.067,FALSE,TRUE,America/Chicago,3,71764,1840015675,b:middle,moderately dense,less educated,medium employment,medium mortality,low agriculture
5105,Arkansas,Perry,polygon,U,35.0399,-92.8991,FALSE,TRUE,America/Chicago,3,72001,1840013524,b:middle,moderately dense,less educated,medium employment,medium mortality,low agriculture
5107,Arkansas,Phillips,polygon,U,34.4212,-90.8133,FALSE,TRUE,America/Chicago,3,72355 72342,1840036137,b:middle,moderately dense,less educated,medium employment,high mortality,best
5109,Arkansas,Pike,polygon,U,34.0299,-93.5057,FALSE,TRUE,America/Chicago,3,71940,1840014710,b:middle,dense,less educated,medium employment,medium mortality,low agriculture
5111,Arkansas,Poinsett,polygon,U,35.4868,-90.3559,FALSE,TRUE,America/Chicago,3,72386,1840015407,b:middle,dense,less educated,medium employment,medium mortality,best
5113,Arkansas,Polk,polygon,U,34.581,-94.2374,FALSE,TRUE,America/Chicago,3,71953,1840015549,a:poor,dense,less educated,low employment,low mortality,best
5115,Arkansas,Pope,polygon,U,35.328,-93.2417,FALSE,TRUE,America/Chicago,3,72847 72802,1840015402,c:rich,moderately dense,moderately educated,high employment,high mortality,low agriculture
5117,Arkansas,Prairie,polygon,U,34.9777,-91.5068,FALSE,TRUE,America/Chicago,3,72040,1840014624,a:poor,dense,less educated,low employment,low mortality,best
5119,Arkansas,Pulaski,polygon,U,34.7926,-92.1959,FALSE,FALSE,America/Chicago,3,72117,1840013538,c:rich,highly dense,moderately educated,high employment,high mortality,low agriculture
5121,Arkansas,Randolph,polygon,U,36.3609,-90.759,FALSE,TRUE,America/Chicago,3,72462 72413,1840014449,b:middle,dense,less educated,medium employment,medium mortality,low agriculture
5125,Arkansas,Saline,polygon,U,34.5095,-92.6406,FALSE,TRUE,America/Chicago,3,72015,1840013571,b:middle,dense,moderately educated,medium employment,medium mortality,good agriculture
5127,Arkansas,Scott,polygon,U,34.9004,-94.0941,FALSE,TRUE,America/Chicago,3,72958,1840015500,a:poor,dense,less educated,low employment,low mortality,good agriculture
5133,Arkansas,Sevier,polygon,U,33.8335,-94.1177,FALSE,TRUE,America/Chicago,3,71823 71846,1840015608,c:rich,moderately dense,less educated,high employment,high mortality,low agriculture
5137,Arkansas,Stone,polygon,U,35.962,-92.2301,FALSE,TRUE,America/Chicago,3,72533,1840073878,b:middle,moderately dense,less educated,medium employment,high mortality,low agriculture
5139,Arkansas,Union,polygon,U,33.1079,-92.3598,FALSE,TRUE,America/Chicago,3,71765,1840015733,c:rich,dense,less educated,high employment,high mortality,low agriculture
5141,Arkansas,Van Buren,polygon,U,35.6442,-92.3137,FALSE,TRUE,America/Chicago,3,72153,1840017827,b:middle,moderately dense,less educated,medium employment,high mortality,good agriculture
5143,Arkansas,Washington,polygon,U,36.1642,-94.2457,FALSE,TRUE,America/Chicago,3,72762 72770,1840015337,c:rich,moderately dense,less educated,high employment,medium mortality,best
5145,Arkansas,White,polygon,U,35.277,-91.6411,FALSE,TRUE,America/Chicago,3,72081,1840014554,b:middle,dense,less educated,medium employment,medium mortality,low agriculture
5147,Arkansas,Woodruff,polygon,U,35.0058,-91.2521,FALSE,TRUE,America/Chicago,3,72036,1840014581,a:poor,dense,less educated,low employment,medium mortality,best
6007,California,Butte,polygon,U,39.4261,-121.3542,FALSE,TRUE,America/Los_Angeles,3,95966 95914,1840042826,c:rich,moderately dense,moderately educated,high employment,high mortality,good agriculture
6011,California,Colusa,polygon,U,39.0742,-121.8988,FALSE,FALSE,America/Los_Angeles,3,95950,1840024468,c:rich,moderately dense,less educated,high employment,high mortality,best
6019,California,Fresno,polygon,U,36.5399,-119.845,FALSE,FALSE,America/Los_Angeles,3,93609,1840017632,c:rich,highly dense,less educated,high employment,high mortality,good agriculture
6021,California,Glenn,polygon,U,39.5149,-122.1995,FALSE,TRUE,America/Los_Angeles,3,95988,1840021438,a:poor,highly dense,less educated,low employment,low mortality,good agriculture
6023,California,Humboldt,polygon,U,40.3987,-123.9474,FALSE,FALSE,America/Los_Angeles,3,95569,1840026325,c:rich,moderately dense,moderately educated,high employment,high mortality,best
6025,California,Imperial,polygon,U,33.3548,-115.7306,FALSE,FALSE,America/Los_Angeles,3,92257,1840018033,c:rich,moderately dense,less educated,high employment,high mortality,good agriculture
6029,California,Kern,polygon,U,35.6411,-118.4047,FALSE,FALSE,America/Los_Angeles,3,93240,1840019135,c:rich,dense,less educated,high employment,high mortality,low agriculture
6031,California,Kings,polygon,U,36.303,-119.637,FALSE,FALSE,America/Los_Angeles,3,93230,1840017717,c:rich,highly dense,less educated,high employment,medium mortality,good agriculture
6033,California,Lake,polygon,U,38.8356,-122.723,FALSE,FALSE,America/Los_Angeles,3,95426,1840017546,b:middle,moderately dense,moderately educated,medium employment,high mortality,low agriculture
6035,California,Lassen,polygon,U,40.1419,-120.1399,TRUE,TRUE,America/Los_Angeles,3,96113,1840024201,b:middle,dense,moderately educated,medium employment,medium mortality,low agriculture
6039,California,Madera,polygon,U,36.964,-120.0803,FALSE,TRUE,America/Los_Angeles,3,93637 93638 93639,1840020300,a:poor,highly dense,less educated,low employment,low mortality,low agriculture
6047,California,Merced,polygon,U,37.4306,-120.7759,FALSE,FALSE,America/Los_Angeles,3,95315,1840018930,b:middle,highly dense,less educated,medium employment,medium mortality,good agriculture
6059,California,Orange,polygon,U,33.8002,-117.9935,FALSE,TRUE,America/Los_Angeles,2,90680,1840021966,c:rich,highly dense,less educated,high employment,medium mortality,good agriculture
6061,California,Placer,polygon,U,39.2138,-120.8033,FALSE,FALSE,America/Los_Angeles,3,95701,1840025619,c:rich,moderately dense,highly educated,high employment,high mortality,low agriculture
6065,California,Riverside,polygon,U,33.9797,-116.9694,FALSE,FALSE,America/Los_Angeles,3,92223,1840017983,c:rich,highly dense,less educated,high employment,high mortality,low agriculture
6067,California,Sacramento,polygon,U,38.574,-121.2523,FALSE,TRUE,America/Los_Angeles,3,95742 95670 95827 95741,1840020248,b:middle,highly dense,moderately educated,medium employment,medium mortality,low agriculture
6077,California,San Joaquin,polygon,U,38.1218,-121.2933,FALSE,TRUE,America/Los_Angeles,3,95240 95242,1840020263,a:poor,highly dense,less educated,low employment,low mortality,good agriculture
6079,California,San Luis Obispo,polygon,U,35.7309,-120.8702,FALSE,FALSE,America/Los_Angeles,3,93446,1840017808,c:rich,moderately dense,moderately educated,high employment,high mortality,low agriculture
6091,California,Sierra,polygon,U,39.574,-120.6297,FALSE,FALSE,America/Los_Angeles,3,96125,1840024380,a:poor,moderately dense,moderately educated,medium employment,medium mortality,low agriculture
6095,California,Solano,polygon,U,38.1133,-122.2359,FALSE,TRUE,America/Los_Angeles,2,94592 94590 94591 94589,1840021499,a:poor,highly dense,less educated,low employment,low mortality,low agriculture
6099,California,Stanislaus,polygon,U,37.6374,-121.0028,FALSE,TRUE,America/Los_Angeles,2,95358 95356 95355 95354 95351 95350 95352 95353 95397,1840020287,a:poor,highly dense,less educated,low employment,low mortality,good agriculture
6101,California,Sutter,polygon,U,39.2788,-121.6624,FALSE,TRUE,America/Los_Angeles,3,95953,1840020234,a:poor,highly dense,less educated,low employment,low mortality,good agriculture
6103,California,Tehama,polygon,U,40.027,-122.0981,FALSE,FALSE,America/Los_Angeles,3,96055,1840017505,b:middle,dense,less educated,medium employment,medium mortality,low agriculture
6107,California,Tulare,polygon,U,36.379,-119.0312,FALSE,TRUE,America/Los_Angeles,3,93244,1840074315,c:rich,moderately dense,less educated,high employment,high mortality,good agriculture
6113,California,Yolo,polygon,U,38.8926,-121.9741,FALSE,FALSE,America/Los_Angeles,3,95937,1840024600,c:rich,moderately dense,less educated,high employment,high mortality,low agriculture
6115,California,Yuba,polygon,U,39.3204,-121.4038,FALSE,FALSE,America/Los_Angeles,3,95901,1840017544,b:middle,moderately dense,less educated,medium employment,medium mortality,good agriculture
8001,Colorado,Adams,polygon,U,39.7366,-104.4286,FALSE,TRUE,America/Denver,3,80102,1840020193,c:rich,dense,less educated,high employment,high mortality,best
8003,Colorado,Alamosa,polygon,U,37.4767,-105.8396,FALSE,TRUE,America/Denver,3,81101 81102,1840036558,b:middle,dense,less educated,low employment,low mortality,good agriculture
8005,Colorado,Arapahoe,polygon,U,39.5993,-105.035,FALSE,TRUE,America/Denver,3,80123,1840028444,c:rich,highly dense,highly educated,high employment,high mortality,good agriculture
8007,Colorado,Archuleta,polygon,U,37.2675,-107.0301,FALSE,TRUE,America/Denver,3,81147,1840022565,a:poor,moderately dense,moderately educated,low employment,low mortality,low agriculture
8011,Colorado,Bent,polygon,U,38.1063,-102.956,FALSE,FALSE,America/Denver,3,81044,1840024704,b:middle,dense,less educated,medium employment,medium mortality,good agriculture
8013,Colorado,Boulder,polygon,U,40.0726,-105.5136,FALSE,TRUE,America/Denver,3,80481,1840022426,c:rich,moderately dense,highly educated,high employment,high mortality,low agriculture
8015,Colorado,Chaffee,polygon,U,38.5524,-106.0085,FALSE,FALSE,America/Denver,3,81201,1840028464,c:rich,dense,highly educated,high employment,high mortality,low agriculture
